ramR_cds_mutations,ramR_amino_mutations
7,3
7,3
7,3
7,3
6,3
10,3
7,3
9,3
7,3
7,4
5,2
5,3
6,2
6,3
9,3
8,3
7,3
8,3
5,2
5,3
6,3
6,3
5,3
8,3
9,3
7,3
7,3
7,3
5,2
8,3
5,3
8,4
9,3
6,3
9,3
8,3
8,3
9,3
8,3
8,3
8,3
8,3
7,3
8,3
6,3
7,3
6,3
6,-1
6,3
6,2
9,3
6,2
7,3
8,3
8,3
7,4
6,2
7,3
7,3
9,3
7,3
7,4
8,3
5,3
5,3
8,3
9,3
8,3
7,3
7,3
5,2
7,2
6,2
4,2
7,3
6,3
7,3
8,3
8,3
8,3
6,3
7,3
7,3
7,3
8,3
7,3
7,3
9,3
8,-1
6,3
6,3
6,3
8,3
8,3
5,3
6,3
8,3
8,3
7,3
8,3
6,2
6,3
3,3
7,3
4,2
7,3
8,3
7,2
8,3
6,3
8,3
7,3
7,3
7,4
5,3
7,3
10,4
7,3
6,2
7,3
6,3
6,2
8,5
6,3
6,2
5,3
8,3
7,3
8,3
6,3
6,3
8,3
9,3
7,3
5,2
9,3
7,3
7,3
8,4
8,3
4,1
7,4
5,3
5,2
8,3
6,3
5,3
6,3
5,3
8,3
8,3
6,3
9,3
8,3
8,4
9,3
8,3
7,3
6,3
8,-1
6,3
7,3
8,3
8,3
7,3
10,3
5,2
8,3
7,3
7,2
5,2
7,3
6,3
6,2
6,3
5,3
8,3
8,3
7,3
7,3
8,3
8,3
9,3
10,3
9,3
7,3
6,3
6,3
6,3
6,2
5,3
7,3
7,3
5,2
7,3
6,-1
7,3
6,3
7,3
6,2
8,3
8,3
9,3
5,3
7,2
7,3
6,3
7,3
7,3
6,3
7,3
5,3
10,4
8,3
7,3
6,3
8,3
5,2
8,3
7,3
6,3
7,3
8,3
7,3
6,3
5,-1
4,2
7,3
7,3
6,3
6,3
5,3
6,3
7,3
7,3
6,2
6,3
6,3
7,3
7,3
8,3
8,3
8,3
6,3
5,3
5,3
6,3
8,3
7,3
5,2
7,3
6,3
7,3
8,3
8,3
9,3
4,2
7,3
8,3
7,3
7,3
5,2
7,3
6,3
7,3
7,3
9,4
8,3
9,3
47,-1
8,3
9,3
6,3
6,3
6,3
4,1
7,2
7,3
7,3
6,3
9,3
5,3
5,2
8,3
7,3
6,3
8,3
8,3
8,3
7,3
6,3
9,3
7,3
9,3
9,3
6,3
8,3
6,3
6,3
9,3
8,3
5,3
5,3
8,3
4,2
4,2
9,3
7,-1
6,3
6,3
8,3
7,3
7,3
7,3
7,3
5,2
9,3
5,3
6,2
7,3
7,3
8,3
4,3
7,3
6,3
8,3
7,3
7,3
8,3
6,3
9,3
7,3
6,3
7,3
8,3
7,3
6,3
6,2
9,3
9,3
6,3
8,3
5,2
5,2
7,3
8,3
7,3
7,3
9,3
7,3
6,3
8,3
8,3
7,3
7,3
6,3
5,2
6,3
7,3
7,-1
7,4
7,3
8,3
8,3
9,3
7,3
8,-1
6,2
9,3
6,3
6,3
9,3
6,3
6,3
6,2
7,3
6,3
8,3
5,2
7,3
7,3
5,3
7,3
5,2
8,3
7,3
6,3
7,3
8,3
9,3
7,2
7,3
8,3
6,2
9,3
8,3
8,3
7,3
9,3
8,-1
7,3
7,3
6,3
7,3
9,3
6,2
5,3
6,2
9,3
9,3
5,2
7,3
6,3
8,3
7,3
6,3
5,2
9,4
9,4
6,3
4,3
6,3
7,3
4,2
6,3
8,3
8,3
6,3
6,3
6,3
7,3
8,3
8,3
6,3
7,3
6,3
6,2
8,3
5,3
5,3
7,3
6,3
7,4
5,-1
5,2
9,3
8,3
8,3
6,3
5,2
8,3
9,3
6,3
7,3
7,3
7,3
6,3
6,3
8,3
6,3
7,3
8,3
7,3
8,3
7,3
9,3
7,3
6,3
5,3
5,3
8,3
8,3
5,2
7,3
7,3
7,3
8,3
6,2
6,2
8,3
8,3
8,3
8,3
9,3
8,4
9,3
8,3
8,3
7,3
9,3
7,3
8,3
5,2
6,3
6,3
7,3
8,3
7,3
7,3
9,3
6,3
9,4
8,3
7,3
6,3
6,3
4,2
8,3
9,4
4,2
6,3
8,3
4,2
6,3
8,3
9,3
5,2
7,3
9,3
4,3
7,2
7,3
7,3
6,3
7,3
8,3
8,3
7,3
6,3
8,3
5,2
7,3
6,3
7,3
7,4
6,3
7,3
8,4
8,3
5,3
9,3
7,3
9,3
7,2
9,3
7,3
9,3
5,3
7,3
6,3
6,3
4,2
8,3
6,3
6,3
7,2
8,3
6,3
6,3
8,4
7,3
10,-1
6,3
8,3
8,3
7,4
8,3
6,3
9,3
8,3
8,3
5,3
7,3
9,3
7,-1
7,3
7,3
8,3
7,3
6,3
8,3
7,4
6,3
6,3
9,3
8,3
6,3
7,3
6,3
6,3
6,3
6,3
6,-1
8,3
9,3
5,3
7,3
6,3
8,3
7,2
7,3
9,3
7,3
6,3
7,3
8,3
5,3
7,3
7,3
9,2
6,3
6,3
8,3
8,3
9,3
8,3
8,3
4,2
7,3
6,3
6,3
6,3
8,3
8,3
7,4
6,2
7,2
8,3
7,3
6,3
5,3
9,-1
6,3
7,3
8,3
5,2
6,3
8,3
4,3
7,3
7,3
6,3
9,3
6,3
6,3
8,3
8,3
7,3
6,3
8,3
9,3
5,2
8,3
7,3
9,3
8,3
7,3
4,2
9,4
6,3
8,3
5,2
6,3
6,3
7,3
7,3
8,3
4,2
8,3
7,3
8,3
8,3
6,3
7,3
9,3
5,3
8,3
6,2
7,3
7,3
8,3
6,3
8,3
8,3
5,3
9,3
4,2
9,3
4,2
6,3
5,3
6,3
7,3
9,3
9,3
7,3
5,3
5,3
8,3
7,3
6,3
7,3
7,2
8,3
6,3
5,3
8,-1
8,3
6,2
6,3
7,3
7,3
5,3
7,4
6,2
9,3
8,2
9,3
4,3
4,2
6,3
9,3
7,3
5,3
6,3
8,3
7,3
7,3
8,3
5,3
7,3
6,3
6,-1
5,2
8,3
8,3
6,3
6,3
8,3
4,3
8,3
8,3
7,3
8,3
7,3
6,3
5,3
6,2
8,3
6,3
8,3
6,2
7,3
9,3
7,3
8,3
8,3
7,3
7,3
4,2
6,3
8,3
5,3
7,3
8,3
7,3
7,3
7,3
7,3
7,3
7,3
6,3
6,2
7,3
7,3
7,-1
8,3
7,2
7,3
7,3
8,3
5,2
6,3
8,3
6,3
6,3
5,3
7,3
5,2
8,3
9,3
7,3
7,3
6,3
5,3
8,3
6,3
8,3
4,2
7,3
5,1
7,3
7,3
8,2
7,3
7,2
6,-1
7,3
7,3
7,3
8,3
7,2
6,2
5,2
7,3
4,3
8,3
6,3
9,3
7,3
7,3
6,3
7,3
6,3
7,3
5,3
7,3
7,3
7,3
7,3
10,3
8,3
7,2
7,3
8,3
7,3
9,3
6,3
7,3
6,2
6,3
7,3
5,3
6,3
8,3
6,3
7,3
9,3
6,2
8,3
8,3
8,3
7,3
6,3
6,3
7,2
8,3
6,3
7,3
5,3
9,3
8,3
7,3
4,1
8,3
7,3
6,3
9,3
6,3
7,3
8,3
7,3
7,3
5,3
5,3
7,3
8,3
6,3
4,2
8,3
8,2
9,3
6,3
6,3
6,3
9,3
7,3
6,2
8,3
6,3
8,3
5,2
6,2
7,3
6,2
7,3
7,3
8,3
7,3
4,1
7,3
8,3
5,3
7,-1
6,3
9,3
7,3
5,3
7,3
8,3
10,3
6,-1
4,3
5,2
5,3
6,3
8,3
7,3
8,3
7,2
6,3
6,3
8,3
5,2
8,3
8,3
8,3
7,3
7,3
8,3
8,3
8,3
8,4
4,3
8,3
7,3
8,3
8,3
7,3
5,3
9,3
7,3
6,2
4,1
9,4
5,3
6,3
6,3
6,3
7,3
6,3
4,3
8,3
9,3
8,3
9,3
4,2
5,2
7,3
8,3
9,3
7,3
6,3
8,3
7,3
8,3
5,3
8,3
5,3
4,3
8,3
7,3
9,3
8,3
9,3
8,3
8,3
6,3
8,3
6,3
6,3
6,3
8,3
4,2
6,3
8,3
9,3
7,3
8,3
7,3
8,3
7,3
6,3
7,3
8,3
9,3
7,3
5,2
8,3
10,4
5,3
6,3
7,3
7,3
8,3
7,3
7,3
6,2
6,2
7,3
5,3
7,3
4,3
6,3
7,3
5,3
8,3
9,3
8,3
6,3
7,3
7,4
8,3
6,2
6,3
6,2
6,2
5,3
6,2
6,3
5,3
8,3
8,3
8,3
8,3
7,3
5,1
6,3
6,2
8,3
5,2
9,3
8,3
6,3
6,3
7,3
8,3
8,3
7,3
8,3
6,3
7,3
8,3
8,3
8,3
4,3
6,3
9,3
8,3
8,-1
7,2
8,3
8,3
7,3
8,3
6,3
6,3
6,3
7,3
6,3
8,3
6,3
7,3
8,3
7,3
8,3
8,3
6,3
7,-1
4,1
9,3
7,2
6,-1
6,3
4,2
6,3
6,3
8,3
6,3
9,3
6,3
8,3
7,3
6,3
7,3
7,3
6,3
6,3
5,3
7,3
7,3
8,3
7,3
9,3
8,3
5,3
7,2
6,3
7,3
5,1
7,3
5,2
5,3
6,2
8,3
9,-1
5,2
4,2
8,3
7,3
6,2
7,3
5,3
5,3
8,3
7,3
8,3
5,2
7,4
7,3
6,3
8,3
7,3
7,2
5,3
5,3
12,7
7,3
6,3
8,3
7,3
8,3
6,2
8,3
5,3
7,3
8,3
7,3
7,3
7,2
7,4
3,3
7,-1
5,2
6,3
7,3
5,2
9,3
7,3
9,3
6,2
6,3
6,3
8,3
5,3
7,3
6,3
6,3
8,3
9,3
7,3
7,3
9,3
7,2
6,3
7,3
7,3
6,2
6,3
7,4
7,3
7,3
6,3
9,3
8,3
8,3
6,3
4,3
7,3
8,3
8,3
7,3
6,3
9,3
6,3
7,3
3,2
8,3
6,2
7,3
7,3
8,3
7,3
7,2
9,3
6,3
8,3
6,2
4,3
8,3
6,3
6,3
7,3
7,-1
5,2
6,3
6,2
7,3
7,3
5,3
9,4
7,3
6,3
7,3
7,3
6,3
8,3
6,2
6,3
7,3
7,3
9,3
8,3
9,3
7,4
7,3
9,4
6,3
6,3
7,3
7,3
6,3
8,3
6,2
7,3
8,3
8,3
6,2
6,3
9,3
9,3
7,3
8,3
5,3
7,3
8,3
6,3
7,3
10,4
5,2
6,3
6,3
6,3
6,3
6,3
7,3
8,3
8,4
9,3
7,3
7,3
7,3
9,3
9,3
7,3
6,3
6,2
7,3
7,3
7,3
8,3
3,2
8,3
7,3
8,3
7,3
7,3
9,3
6,3
7,3
7,3
7,3
5,3
7,3
9,-1
7,3
8,3
9,3
6,3
5,3
8,3
7,3
8,3
6,3
7,3
9,3
8,3
5,3
6,3
5,3
7,3
7,2
4,2
5,3
8,3
9,3
7,3
7,3
7,3
9,3
7,3
7,3
5,2
7,3
8,3
8,3
8,3
7,3
5,3
7,3
5,2
6,3
6,3
7,2
6,3
8,3
7,3
8,3
6,3
7,3
8,3
8,3
8,3
5,3
8,3
6,2
7,3
8,3
8,-1
7,3
6,2
7,3
7,3
6,2
5,3
9,3
9,3
6,3
8,4
4,2
7,3
8,3
6,2
5,2
5,2
8,-1
8,3
4,3
8,3
7,3
10,4
8,3
6,3
7,3
4,2
6,3
6,3
8,3
9,3
6,3
5,3
8,3
8,3
8,3
7,3
9,3
7,3
8,3
6,2
9,-1
5,2
8,3
9,3
8,3
4,3
9,-1
8,3
8,3
6,3
9,3
6,3
7,3
9,3
7,3
8,3
6,2
7,3
7,3
8,3
6,3
9,3
8,3
6,3
10,4
6,3
7,3
7,3
8,3
7,3
8,3
7,2
8,3
7,-1
4,2
7,2
9,3
8,3
6,3
6,3
7,3
7,3
9,3
6,3
9,3
5,3
7,3
7,3
6,3
7,3
9,3
8,3
7,3
7,3
8,3
4,1
8,3
8,3
6,2
9,3
6,3
6,3
5,3
6,3
4,3
7,3
4,2
8,3
7,2
8,-1
8,3
6,3
9,3
7,3
7,3
7,3
8,3
6,3
9,4
9,3
7,3
9,4
7,3
8,3
5,3
7,3
9,3
6,3
8,3
3,2
10,3
8,3
8,3
8,3
6,2
4,2
5,2
4,2
8,3
5,2
8,3
5,2
9,3
9,3
5,3
8,3
5,3
7,3
6,2
7,3
7,3
5,2
5,3
4,2
8,3
9,3
8,3
5,3
6,2
8,3
7,3
6,3
8,3
9,3
8,3
6,3
8,3
7,3
8,3
7,3
4,2
5,3
7,3
6,3
4,2
4,3
6,3
8,4
6,2
8,3
7,3
8,3
9,-1
7,3
7,3
7,3
6,3
7,3
7,3
8,3
6,3
6,3
7,4
6,3
6,3
6,3
8,3
8,3
8,3
8,3
9,3
6,3
8,3
6,3
7,3
6,3
2,1
8,3
8,3
7,-1
7,3
8,3
8,3
8,3
5,2
8,3
7,3
6,3
7,3
8,3
8,3
7,3
7,3
8,3
9,3
5,3
9,4
6,3
8,3
6,3
4,2
6,2
7,3
8,3
6,3
6,3
7,3
8,3
6,2
8,3
6,3
6,3
7,2
7,3
7,3
4,3
9,3
9,3
8,3
5,2
7,3
7,3
6,2
7,3
5,3
5,3
4,1
7,3
6,3
4,2
8,3
7,3
6,3
6,2
4,3
6,3
8,3
6,3
9,3
9,3
9,3
7,3
7,3
8,3
7,3
6,3
9,3
6,2
8,3
5,3
8,3
8,3
8,3
5,3
9,3
6,3
8,3
9,3
4,3
6,2
8,3
7,3
7,3
10,4
5,3
8,3
6,2
6,3
5,3
6,2
5,3
7,3
8,3
7,3
6,3
8,3
7,3
6,2
5,3
6,3
7,3
7,3
6,3
6,2
7,3
7,3
7,3
7,3
8,3
9,3
3,1
7,3
7,3
8,3
6,3
7,3
8,3
5,2
6,3
4,2
8,3
7,3
7,3
6,3
7,3
5,3
6,3
7,3
6,2
9,3
6,2
5,3
8,-1
7,3
8,3
6,2
6,3
7,3
7,3
8,-1
6,2
8,3
4,2
7,3
7,4
6,3
8,3
6,3
8,3
5,3
7,3
10,4
7,3
4,3
8,3
6,3
7,3
7,3
9,3
8,-1
7,3
4,1
6,3
8,3
4,3
6,3
7,3
7,3
7,3
6,2
6,2
8,3
5,3
5,2
9,3
9,3
8,4
9,3
5,3
7,3
8,3
6,3
9,3
4,1
8,3
7,3
6,3
6,3
7,3
8,3
9,3
8,3
8,3
5,3
9,3
9,3
7,2
5,3
9,3
7,3
8,-1
7,3
6,2
7,3
5,3
7,3
8,3
5,3
6,3
7,2
6,3
8,3
7,3
8,3
7,4
7,2
7,3
8,3
8,3
8,3
8,3
5,3
6,2
6,3
8,3
6,-1
5,3
5,3
6,3
8,3
9,3
8,3
7,3
5,3
5,3
5,3
6,3
8,3
7,3
8,4
7,3
5,3
7,3
6,2
7,3
6,3
7,3
7,3
6,3
9,3
5,2
8,3
8,3
7,3
7,3
8,3
5,3
7,3
8,3
8,3
9,3
8,3
5,3
7,3
7,3
5,3
4,2
7,3
7,3
6,-1
6,2
8,2
5,2
7,3
8,3
8,4
6,3
6,3
7,2
7,3
8,3
9,3
7,3
9,3
8,3
5,2
8,3
7,3
6,3
3,2
8,3
8,3
7,3
7,3
8,4
7,2
8,3
7,3
4,2
9,4
9,3
6,3
7,3
8,3
6,3
9,3
9,3
6,3
4,2
7,3
9,3
6,2
7,-1
8,3
6,3
7,3
9,3
7,3
8,3
7,3
6,3
8,3
8,3
7,3
6,2
8,3
8,3
8,3
9,3
8,3
7,3
8,3
8,3
9,3
9,3
6,3
7,3
5,3
7,3
6,3
7,3
9,3
8,3
5,3
8,3
7,3
8,3
6,3
6,3
7,3
8,3
8,3
6,3
7,3
8,3
6,3
5,2
8,3
7,3
6,3
6,3
8,3
8,3
7,3
5,2
5,3
7,3
7,3
8,3
6,2
8,3
5,2
5,3
7,3
8,3
8,3
8,3
8,3
7,3
8,3
7,3
4,2
8,3
7,3
8,3
4,2
8,4
7,3
9,4
8,3
8,3
8,3
6,2
6,3
6,3
8,3
7,3
7,3
6,3
9,3
7,3
7,3
5,3
7,3
9,3
7,3
8,3
7,3
9,3
9,3
5,2
8,3
7,3
7,3
7,3
8,3
9,3
6,3
8,3
8,3
7,3
7,3
7,3
7,-1
8,3
8,3
6,2
5,2
6,3
5,3
7,3
6,3
5,2
6,2
4,2
7,3
10,4
6,2
6,3
8,3
9,3
7,3
4,2
5,3
5,-1
7,3
7,3
7,3
7,3
9,2
7,3
8,4
7,3
7,3
6,3
8,3
7,3
8,3
6,2
6,3
6,3
9,2
8,3
5,3
7,3
7,3
7,3
7,3
6,3
8,3
10,3
7,2
5,3
4,-1
7,2
7,3
8,3
5,2
6,3
7,2
6,3
7,2
7,3
8,3
4,3
6,3
9,3
5,2
8,-1
8,3
5,3
8,3
10,3
6,3
7,2
7,3
7,3
5,3
6,3
6,3
9,3
6,3
6,3
7,3
9,4
8,3
6,3
7,3
7,3
6,3
7,3
8,3
4,3
6,3
8,3
5,3
7,3
7,3
6,2
8,3
7,3
6,3
7,3
4,2
8,3
8,-1
7,3
6,3
8,3
5,2
7,1
7,3
9,3
7,3
6,3
7,3
6,2
5,3
6,2
6,3
8,3
8,3
10,4
9,3
4,2
7,2
6,3
6,2
9,3
7,3
6,-1
7,3
7,3
7,3
7,3
5,3
6,2
9,3
8,3
5,2
8,3
8,3
7,3
10,3
9,3
9,3
7,3
4,3
6,3
7,3
7,3
4,2
6,3
5,3
8,3
6,2
7,3
5,3
7,3
7,3
9,3
7,3
8,3
5,3
8,3
7,3
7,3
7,3
7,3
7,3
8,3
7,3
6,3
7,3
5,2
7,3
8,3
6,2
6,3
7,3
4,2
5,3
5,3
7,3
9,3
6,3
6,3
6,3
9,3
8,3
8,3
9,3
4,2
6,3
6,3
5,3
5,2
6,3
6,4
9,3
7,3
7,3
5,2
8,3
8,3
9,3
8,3
8,3
6,3
6,3
6,3
7,3
7,3
4,2
6,2
5,3
6,2
6,3
9,3
6,2
8,3
10,3
7,3
8,3
6,3
8,3
7,3
6,3
7,3
5,2
7,3
6,3
7,3
9,3
8,3
9,3
8,3
7,3
5,2
6,3
8,3
5,2
9,3
7,3
7,3
8,3
6,3
7,3
7,4
6,2
10,-1
7,3
7,3
7,3
7,3
9,3
7,3
6,3
5,3
9,3
5,3
5,3
9,4
9,3
7,3
8,3
7,3
6,3
8,-1
6,3
6,2
7,3
7,3
7,2
8,3
6,2
6,3
9,3
6,3
8,3
5,2
8,3
9,3
5,3
7,3
6,3
4,2
5,2
6,3
8,3
7,3
5,3
7,3
7,3
6,3
8,3
8,3
8,3
4,3
9,4
7,3
9,3
8,3
8,3
8,3
5,2
8,3
8,3
9,3
7,3
7,2
8,3
9,3
9,3
5,1
8,3
9,3
7,3
8,3
8,3
8,3
6,3
7,2
5,3
5,2
5,2
8,3
5,3
8,3
7,3
7,3
8,3
7,3
6,3
6,3
8,3
9,3
7,3
9,3
6,3
6,2
7,3
7,3
5,2
9,4
10,4
8,3
6,3
8,3
5,3
7,3
7,3
7,3
4,2
7,4
8,3
7,3
7,3
5,3
8,3
6,3
5,3
8,3
6,3
8,3
6,2
8,3
5,3
8,3
6,3
9,3
7,3
8,3
8,3
7,3
8,3
7,3
6,3
6,3
5,2
7,3
9,3
7,3
8,3
8,3
5,3
6,3
8,3
5,3
8,3
7,3
7,2
8,3
7,-1
7,3
7,3
6,3
4,2
7,3
7,3
8,3
9,3
5,2
5,3
8,3
3,2
7,4
6,3
7,2
4,2
9,3
8,3
7,3
7,3
5,3
6,3
6,3
8,3
7,3
6,3
7,3
6,3
28,-1
7,3
8,3
6,2
8,3
8,3
7,3
5,3
7,3
6,3
7,3
6,2
5,3
7,2
6,3
6,3
6,3
5,3
6,3
6,3
7,3
9,3
7,3
7,3
7,3
6,3
9,3
7,3
6,3
7,2
9,3
8,3
7,3
4,2
5,2
6,3
9,3
7,3
8,3
5,3
8,3
8,4
4,3
6,3
8,3
7,3
7,3
7,3
7,3
8,3
7,3
8,3
7,2
7,3
8,3
7,3
4,2
5,3
6,2
7,3
6,2
6,2
6,3
8,4
8,3
6,3
7,2
6,3
6,3
8,4
6,3
6,2
6,2
7,3
6,3
7,3
2,2
7,3
8,3
7,3
6,3
4,3
9,3
6,3
8,3
9,3
7,3
9,3
4,1
8,3
7,3
7,3
5,2
6,3
7,-1
8,3
7,3
8,3
6,3
8,3
8,3
8,3
9,3
9,3
5,3
4,2
4,2
7,3
7,3
8,3
7,3
4,3
8,3
6,2
5,2
7,3
8,3
8,3
7,3
5,2
7,3
6,3
7,3
9,3
9,3
8,3
5,3
6,3
7,3
9,-1
6,3
6,3
4,2
6,2
8,3
7,3
7,3
8,3
7,3
4,3
6,3
6,2
6,2
6,3
8,3
7,3
8,3
9,3
8,3
7,3
8,3
6,3
9,3
7,3
7,3
7,3
7,3
9,3
7,3
7,3
8,3
6,2
8,3
5,2
4,2
6,3
6,3
7,3
3,2
5,1
7,3
6,3
6,2
9,3
5,3
8,3
7,3
7,3
10,3
6,3
6,3
8,3
9,3
8,3
7,3
5,2
6,3
7,3
5,3
5,3
9,3
5,3
7,3
6,3
9,3
6,3
8,3
6,3
5,2
7,3
7,3
8,3
6,3
7,3
8,3
9,4
6,3
8,4
7,3
6,-1
9,3
7,3
8,-1
5,3
7,3
6,3
8,4
4,2
4,3
7,3
8,3
7,3
5,3
7,3
5,3
8,3
8,3
8,3
7,3
6,3
6,3
5,3
8,3
7,3
6,3
5,3
6,2
7,3
9,3
6,3
6,2
5,1
7,3
7,3
8,3
6,2
7,3
5,2
9,3
8,3
9,3
5,2
6,3
8,3
6,3
7,3
7,3
7,3
6,3
5,3
7,3
8,3
7,3
8,3
8,3
7,2
6,2
7,3
7,3
5,3
5,3
8,-1
7,3
4,3
6,3
6,3
9,3
5,1
6,3
7,3
5,3
9,3
9,3
8,3
6,3
5,3
7,3
6,3
8,3
6,3
8,3
6,3
4,1
10,3
7,3
5,3
9,3
9,3
6,3
6,3
8,3
6,2
9,3
5,2
8,3
8,3
5,3
8,3
7,3
8,3
8,3
6,3
6,3
8,3
5,3
8,3
6,3
7,3
9,3
8,3
7,3
6,3
7,3
7,3
5,3
9,3
6,4
8,3
9,3
6,3
7,3
8,3
9,3
5,2
8,3
4,2
8,3
7,3
8,3
5,3
9,3
6,3
7,3
7,-1
6,3
8,3
4,3
7,3
3,1
7,3
8,3
8,3
4,2
6,3
5,2
8,3
9,3
8,3
8,3
8,4
8,3
9,3
5,2
7,3
7,3
6,3
7,3
7,3
6,2
6,3
6,3
6,3
7,4
7,3
6,2
5,3
7,3
9,3
7,-1
7,3
8,3
9,3
8,3
6,2
8,3
5,2
7,3
8,3
5,3
7,3
7,3
7,3
6,3
7,3
6,3
7,3
6,3
6,3
7,3
8,3
8,3
7,3
7,3
7,3
6,3
7,3
8,4
6,3
8,3
6,4
8,3
7,3
9,3
7,3
9,3
9,3
8,3
8,3
7,2
6,3
7,3
8,3
9,3
8,3
7,3
6,3
6,2
5,2
6,2
7,3
6,3
8,3
7,2
7,3
6,2
5,2
7,3
6,3
7,3
7,3
8,3
8,3
7,3
7,4
8,3
5,3
5,2
7,3
9,3
8,3
7,3
7,3
7,3
9,3
7,3
8,3
6,3
5,3
8,3
7,3
7,3
7,3
8,3
8,3
6,2
8,3
4,3
6,3
5,3
7,3
8,3
4,2
8,3
6,3
8,3
7,3
9,3
7,3
6,3
8,3
9,3
8,3
7,3
5,-1
6,3
7,3
6,3
9,3
8,3
7,3
5,3
6,3
9,3
6,3
7,3
7,3
7,3
7,3
8,3
6,3
2,1
7,3
8,3
8,3
8,4
5,3
8,3
8,3
6,3
7,3
5,3
6,2
7,2
8,4
5,3
7,3
5,2
5,2
8,3
9,3
7,3
7,4
4,2
6,3
6,2
7,3
6,3
7,3
8,3
7,3
8,3
8,4
6,3
8,3
8,3
6,3
8,3
4,3
8,3
7,2
6,3
7,3
6,3
9,3
5,3
7,3
8,3
8,3
8,3
5,2
8,3
6,3
7,3
8,3
8,3
9,4
8,3
7,3
8,3
7,3
8,3
9,4
5,3
9,4
6,3
4,2
7,4
6,3
7,3
6,3
6,3
8,3
6,3
7,3
7,4
4,2
8,3
7,2
4,2
5,2
6,3
9,3
7,3
8,3
6,3
7,3
8,3
6,2
8,3
6,3
9,3
8,2
7,3
7,3
7,3
8,3
7,3
6,3
7,3
8,3
8,3
6,3
8,3
7,3
6,3
8,3
5,3
7,3
9,3
7,3
8,3
4,3
8,3
9,3
7,2
6,3
8,3
7,3
5,3
7,3
9,3
7,3
6,3
7,3
5,2
7,3
8,3
4,2
5,3
7,3
6,3
6,3
8,3
5,3
6,2
6,3
7,3
7,3
8,3
7,3
6,3
6,-1
6,2
8,3
6,2
7,3
7,3
7,2
8,3
7,3
4,2
8,-1
7,3
6,3
8,-1
7,3
7,2
5,2
6,2
9,3
5,2
6,3
9,3
6,3
6,3
5,3
6,3
5,2
6,3
6,2
6,3
9,3
9,3
7,3
4,2
9,5
6,3
8,3
8,3
6,2
5,3
6,3
7,3
6,2
7,3
6,-1
4,2
4,3
9,3
7,3
4,2
6,3
8,3
7,3
8,3
7,3
8,3
8,3
4,3
9,3
5,3
8,-1
5,2
10,3
7,2
9,3
7,3
8,3
8,3
6,3
8,3
6,3
6,3
7,3
7,4
8,3
9,4
8,3
6,3
6,3
8,3
6,3
8,3
6,3
6,3
8,2
9,3
7,3
6,3
7,3
7,4
8,3
7,3
8,3
7,3
6,3
7,3
6,3
9,3
5,3
7,3
7,3
3,1
6,3
7,3
4,2
7,2
6,2
4,3
9,3
6,3
7,2
7,3
7,3
6,2
7,3
7,3
9,-1
5,3
7,3
7,3
7,3
6,2
7,3
7,3
6,3
6,3
9,3
8,3
5,2
7,3
6,3
6,3
9,3
7,3
8,3
8,3
7,3
8,3
7,3
6,3
7,3
8,3
5,2
8,3
9,3
7,4
7,3
9,3
7,2
5,3
8,3
8,3
7,3
6,3
5,3
7,4
8,3
7,3
8,4
8,3
6,3
7,3
8,3
8,3
7,3
7,3
8,3
9,3
8,3
7,3
6,3
8,3
9,3
8,3
6,3
7,2
9,3
7,4
7,3
6,2
7,4
7,3
8,3
2,1
6,2
5,3
5,2
7,3
7,3
7,3
8,3
9,3
8,3
8,3
6,3
7,3
9,3
8,3
9,4
8,3
6,3
7,3
8,3
9,3
8,3
7,3
6,3
6,3
7,3
9,3
5,1
7,3
6,3
7,3
8,3
6,3
6,3
6,3
5,3
7,3
7,3
8,3
8,3
6,2
6,2
6,3
7,2
9,3
9,3
8,3
7,3
8,3
7,3
5,3
6,3
7,3
6,3
6,2
7,3
6,2
4,3
5,2
8,3
9,4
6,3
6,3
10,4
9,3
6,3
6,3
8,3
6,3
5,3
6,2
7,3
6,3
6,3
8,3
5,1
9,-1
7,3
4,2
7,3
5,2
6,3
8,3
7,3
7,3
6,3
8,3
9,3
6,3
9,3
5,2
7,3
9,3
7,3
7,3
6,2
6,2
7,3
8,3
7,3
5,3
7,3
7,3
7,3
7,3
5,2
5,3
7,2
7,3
8,3
7,3
6,3
7,3
7,3
5,3
6,3
7,3
6,3
6,3
6,3
7,3
6,3
6,3
7,2
6,3
6,3
7,3
5,3
7,3
6,3
6,3
8,3
5,2
7,3
8,3
6,3
7,3
7,2
6,3
7,3
8,3
6,3
7,3
6,3
7,3
7,-1
8,3
8,3
7,3
8,3
5,3
6,3
8,3
8,3
8,3
8,3
8,3
8,3
7,3
8,3
9,3
8,3
7,2
8,3
7,3
6,3
7,3
6,3
7,3
9,3
7,3
6,3
7,3
7,3
8,3
8,3
5,3
6,2
6,2
8,3
8,3
9,-1
8,3
7,3
7,3
6,3
7,2
9,3
5,2
9,3
3,2
8,3
6,3
5,3
7,3
6,2
6,3
7,3
6,3
4,2
5,3
9,3
4,2
7,3
7,2
7,3
5,3
7,3
4,2
8,3
9,3
6,3
8,3
6,3
8,3
8,3
8,3
9,3
9,3
6,3
6,3
7,3
6,3
9,3
5,3
9,3
6,3
7,3
9,3
8,3
8,3
7,3
4,2
7,3
4,3
6,3
8,3
7,3
5,3
9,3
4,3
6,3
8,3
6,2
6,3
7,3
6,2
6,3
6,2
8,3
7,3
8,3
